Name,Code,Location
Trường Quốc Tế - Đại học Quốc Gia Hà Nội,QHQ,Hà Nội
Đại học Công nghệ - Đại học Quốc gia Hà Nội,QHI,Hà Nội
Đại học Giáo dục - Đại học Quốc gia Hà Nội,QHS,Hà Nội
Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,QHE,Hà Nội
Đại học Khoa học tự nhiên - Đại học Quốc Gia Hà Nội,QHT,Hà Nội
Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX,Hà Nội
Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,QHF,Hà Nội
Đại học Y Dược - Đại học Quốc Gia Hà Nội,QHY,Hà Nội
Đại học Việt Nhật - Đại học Quốc gia Hà Nội,VJU,Hà Nội
Trường Quản trị và Kinh doanh - ĐH Quốc gia Hà Nội,QHD,Hà Nội
Khoa Các khoa học liên ngành - Đại học Quốc gia Hà Nội,QHK,Hà Nội
Đại học Quốc tế - Đại học Quốc gia TP HCM,QSQ,TP HCM
Đại học An Giang - Đại học Quốc gia TP HCM,QSA,An Giang
Đại học Bách khoa - Đại học Quốc gia TP HCM,QSB,TP HCM
Đại học Công nghệ Thông tin - Đại học Quốc gia TP HCM,QSC,TP HCM
Đại học Khoa học Tự nhiên - Đại học Quốc gia TP HCM,QST,TP HCM
Đại học Khoa học xã hội và Nhân văn - Đại học Quốc gia TP HCM,QSX,TP HCM
Đại học Kinh tế - Luật - Đại học Quốc gia TP HCM,QSK,TP HCM
Khoa Ngoại Ngữ - Đại học Thái Nguyên,DTF,Thái Nguyên
Đại học Công Nghệ Thông Tin và Truyền Thông - Đại học Thái Nguyên,DTC,Thái Nguyên
Khoa Quốc Tế - Đại học Thái Nguyên,DTQ,Thái Nguyên
Đại học Kỹ Thuật Công Nghiệp - Đại học Thái Nguyên,DTK,Thái Nguyên
Đại học Nông Lâm - Đại học Thái Nguyên,DTN,Thái Nguyên
Đại học Y Dược - Đại học Thái Nguyên,DTY,Thái Nguyên
Đại học Khoa Học - Đại học Huế,DHT,Huế
Đại học Bách khoa Hà Nội,BKA,Hà Nội
Đại học Luật - Đại học Huế,DHA,Huế
