Name,URL,Code,Location,Total,Methods
Trường Quốc Tế - Đại học Quốc Gia Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/truong-quoc-te-dai-hoc-quoc-gia-ha-noi-417,QHQ,Hà Nội,Tổng chỉ tiêu: 2,"{ Xét tuyển thẳng và ưu tiên xét tuyển theo quy định của Bộ Giáo dục và Đào tạo và quy định của Đại học Quốc gia Hà Nội. | Xét tuyển điểm thi Đánh giá năng lực (HSA) do Đại học Quốc gia Hà Nội tổ chức. | Xét tuyển theo kết quả kỳ thi tốt nghiệp THPT năm 2023. | Xét tuyển chứng chỉ tiếng Anh quốc tế kết hợp. | Xét kết quả A-Level,SAT,ACT,IB (bằng Tú tài quốc tế International Baccalaureate). }"
Đại học Công nghệ - Đại học Quốc gia Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi-415,QHI,Hà Nội,Tổng chỉ tiêu: 1.850,"{ Xét tuyển thẳng. | Xét tuyển dựa vào kết quả thi tốt nghiệp THPT. | Dựa vào kết quả thi đánh giá năng lực. | Xét chứng chỉ quốc tế. | Xét kết hợp chứng chỉ quốc tế và điểm thi tốt nghiệp THPT. | Xét thí sinh diện dự bị đại học. }"
Đại học Giáo dục - Đại học Quốc gia Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-giao-duc-dai-hoc-quoc-gia-ha-noi-418,QHS,Hà Nội,None,None
Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-kinh-te-dai-hoc-quoc-gia-ha-noi-413,QHE,Hà Nội,Tổng chỉ tiêu: 2,"{ Phương thức xét tuyển kết quả thi tốt nghiệp THPT năm 2023. | Xét tuyển theo kết quả thi ĐGNL học sinh bậc THPT do Đại học Quốc gia Hà Nội tổ chức năm 2023. | Xét tuyển chứng chỉ tiếng Anh quốc tế kết hợp kết quả học tập bậc THPT và kết hợp phỏng vấn. | Xét tuyển chứng chỉ tiếng Anh quốc tế kết hợp kết quả thi tốt nghiệp THPT năm 2023. | Xét tuyển thẳng theo quy chế tuyển sinh của Bộ Giáo dục và Đào tạo. | Xét tuyển thẳng theo quy định của Đại học Quốc gia Hà Nội. | Ưu tiên xét tuyển theo quy chế của Bộ Giáo dục và Đào tạo và theo Quy định của Đại học Quốc gia Hà Nội. | Xét tuyển chứng chỉ quốc tế khác như SAT,ACT,A-level. | Xét tuyển thí sinh thuộc các trường dự bị đại học. | Xét tuyển sinh viên quốc tế. | Tuyển sinh ngành Quản trị Kinh doanh dành cho các tài năng thể thao. }"
Đại học Khoa học tự nhiên - Đại học Quốc Gia Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-khoa-hoc-tu-nhien-dai-hoc-quoc-gia-ha-noi-419,QHT,Hà Nội,Tổng chỉ tiêu: 1.800,"{ Xét tuyển thẳng theo quy định của Bộ Giáo dục và Đào tạo và đề án của trường. | Xét kết quả thi tốt nghiệp THPT. | Xét kết quả thi đánh giá năng lực. | Xét chứng chỉ quốc tế. | Kết hợp điểm thi tốt nghiệp THPT và chứng chỉ quốc tế. }"
Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi-420,QHX,Hà Nội,Tổng chỉ tiêu: 2.000,"{ Xét tuyển thẳng. | Xét kết quả thi đánh giá năng lực. | Xét chứng chỉ quốc tế,kết hợp điểm thi tốt nghiệp THPT với chứng chỉ quốc tế. | Xét kết quả thi tốt nghiệp THPT. }"
Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-ngoai-ngu-dai-hoc-quoc-gia-ha-noi-414,QHF,Hà Nội,Tổng chỉ tiêu: 1.650,"{ Xét tuyển thẳng với thí sinh có giải quốc gia,quốc tế,là học sinh trường chuyên; theo quy định của Bộ Giáo dục và Đào tạo | Xét tuyển chứng chỉ ngoại ngữ quốc tế với điểm thi tốt nghiệpTHPT | Sử dụng kết quả bài thi đánh giá năng lực của Đại học Quốc gia Hà Nội | Xét kết quả thi tốt nghiệp THPT }"
Đại học Y Dược - Đại học Quốc Gia Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-y-duoc-dai-hoc-quoc-gia-ha-noi-421,QHY,Hà Nội,None,None
Đại học Việt Nhật - Đại học Quốc gia Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-viet-nhat-dai-hoc-quoc-gia-ha-noi-498,VJU,Hà Nội,None,None
Trường Quản trị và Kinh doanh - ĐH Quốc gia Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/truong-quan-tri-va-kinh-doanh-dh-quoc-gia-ha-noi-499,QHD,Hà Nội,None,None
Khoa Các khoa học liên ngành - Đại học Quốc gia Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/khoa-cac-khoa-hoc-lien-nganh-dai-hoc-quoc-gia-ha-noi-507,QHK,Hà Nội,None,None
Đại học Quốc tế - Đại học Quốc gia TP HCM,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-quoc-te-dai-hoc-quoc-gia-tp-hcm-286,QSQ,TP HCM,None,None
Đại học An Giang - Đại học Quốc gia TP HCM,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-an-giang-dai-hoc-quoc-gia-tp-hcm-450,QSA,An Giang,None,None
Đại học Bách khoa - Đại học Quốc gia TP HCM,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-bach-khoa-dai-hoc-quoc-gia-tp-hcm-283,QSB,TP HCM,Tổng chỉ tiêu: 5.150,"{ Xét tuyển thẳng theo quy chế của Bộ Giáo dục và Đào tạo và Đại học Quốc gia TP HCM. | Ưu tiên xét tuyển theo quy định của Đại học Quốc gia TP HCM. | Xét tuyển thí sinh có chứng chỉ tuyển sinh quốc tế hoặc thí sinh người nước ngoài (chỉ áp dụng cho chương trình giảng dạy bằng tiếng Anh,tiên tiến). | Xét tuyển thí sinh dự tính du học nước ngoài vào chương trình chuyển tiếp quốc tế (Australia,New Zealand). | Xét tuyển kết hợp nhiều tiêu chí. }"
Đại học Công nghệ Thông tin - Đại học Quốc gia TP HCM,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-cong-nghe-thong-tin-dai-hoc-quoc-gia-tp-hcm-284,QSC,TP HCM,Tổng chỉ tiêu: 1.800,"{ Tuyển thẳng và ưu tiên xét tuyển | Xét tuyển dựa trên điểm thi | Xét tuyển dựa trên các chứng chỉ quốc tế | Xét tuyển theo tiêu chí riêng của chương trình liên kết với Đại học Birmingham City,Anh }"
Đại học Khoa học Tự nhiên - Đại học Quốc gia TP HCM,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-khoa-hoc-tu-nhien-dai-hoc-quoc-gia-tp-hcm-287,QST,TP HCM,None,None
Đại học Khoa học xã hội và Nhân văn - Đại học Quốc gia TP HCM,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-tp-hcm-288,QSX,TP HCM,None,None
Đại học Kinh tế - Luật - Đại học Quốc gia TP HCM,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-kinh-te-luat-dai-hoc-quoc-gia-tp-hcm-285,QSK,TP HCM,None,None
Khoa Ngoại Ngữ - Đại học Thái Nguyên,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/khoa-ngoai-ngu-dai-hoc-thai-nguyen-223,DTF,Thái Nguyên,None,None
Đại học Công Nghệ Thông Tin và Truyền Thông - Đại học Thái Nguyên,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-cong-nghe-thong-tin-va-truyen-thong-dai-hoc-thai-nguyen-221,DTC,Thái Nguyên,None,None
Khoa Quốc Tế - Đại học Thái Nguyên,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/khoa-quoc-te-dai-hoc-thai-nguyen-226,DTQ,Thái Nguyên,None,None
Đại học Kỹ Thuật Công Nghiệp - Đại học Thái Nguyên,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-ky-thuat-cong-nghiep-dai-hoc-thai-nguyen-224,DTK,Thái Nguyên,None,None
Đại học Nông Lâm - Đại học Thái Nguyên,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-nong-lam-dai-hoc-thai-nguyen-225,DTN,Thái Nguyên,None,None
Đại học Y Dược - Đại học Thái Nguyên,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-y-duoc-dai-hoc-thai-nguyen-228,DTY,Thái Nguyên,None,None
Đại học Khoa Học - Đại học Huế,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-khoa-hoc-dai-hoc-hue-214,DHT,Huế,None,None
Đại học Bách khoa Hà Nội,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-bach-khoa-ha-noi-349,BKA,Hà Nội,Tổng chỉ tiêu: 7.985,"{ Xét tuyển tài năng với học sinh đạt giải học sinh giỏi cấp tỉnh; dự thi học sinh giỏi quốc gia,có chứng chỉ quốc tế; học lực giỏi THPT và là học sinh trường chuyên/dự thi Olympia vòng tháng/ IELTS 6.0 | Xét tuyển dựa theo kết quả kỳ thi đánh giá tư duy | Xét tuyển dựa theo kết quả thi tốt nghiệp THPT 2023 }"
Đại học Luật - Đại học Huế,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-luat-dai-hoc-hue-208,DHA,Huế,None,None
Đại học Nghệ Thuật - Đại học Huế,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-nghe-thuat-dai-hoc-hue-218,DHN,Huế,None,None
Đại học Ngoại Ngữ - Đại học Huế,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-ngoai-ngu-dai-hoc-hue-217,DHF,Huế,None,None
Đại học Nông Lâm - Đại học Huế,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-nong-lam-dai-hoc-hue-211,DHL,Huế,None,None
Đại học Sư Phạm - Đại học Huế,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-su-pham-dai-hoc-hue-213,DHS,Huế,None,None
Đại học Y Dược - Đại học Huế,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-y-duoc-dai-hoc-hue-215,DHY,Huế,None,None
Đại học Kiến trúc Đà Nẵng,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-kien-truc-da-nang-313,KTD,Đà Nẵng,None,None
Đại học Bách Khoa - Đại học Đà Nẵng,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-bach-khoa-dai-hoc-da-nang-308,DDK,Đà Nẵng,None,None
Đại học Kinh Tế - Đại học Đà Nẵng,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-kinh-te-dai-hoc-da-nang-309,DDQ,Đà Nẵng,None,None
Đại học Sư Phạm - Đại học Đà Nẵng,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-su-pham-dai-hoc-da-nang-310,DDS,Đà Nẵng,None,None
Đại học Ngoại Ngữ - Đại học Đà Nẵng,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-ngoai-ngu-dai-hoc-da-nang-307,DDF,Đà Nẵng,None,None
Đại học Sư phạm Kỹ thuật - Đại học Đà Nẵng,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-su-pham-ky-thuat-dai-hoc-da-nang-479,DSK,Đà Nẵng,None,None
Đại học Công nghệ Thông tin và Truyền thông Việt - Hàn,https://diemthi.vnexpress.net/tra-cuu-dai-hoc/dai-hoc-cong-nghe-thong-tin-va-truyen-thong-viet-han-500,VKU,Đà Nẵng,None,None
